DATASET_GRADIENT
SEPARATOR COMMA
DATASET_LABEL,DFR
COLOR,#ff0000
COLOR_MIN,#4d9221
COLOR_MAX,#c51b7d
USE_MID_COLOR,1
COLOR_MID,#f7f7f7
DATA
Humulus_lupulus_XM_062260191.1,100.0
Humulus_lupulus_XM_062241729.1,100.0
Hippophae_rhamnoides_Hiprha1gene25674,100.0
Hippophae_rhamnoides_Hiprha1gene11285,100.0
Ulmus_minor_Umino05936.1,100.0
Ziziphus_jujuba_XM_016029222.4,100.0
Ziziphus_jujuba_XM_016029219.4,100.0
Rosa_chinensis_XM_024311351.2,100.0
Fragaria_vesca_XM_004291810.1,100.0
Prunus_speciosa_CerSpe_040430,100.0
Malus_domestica_MD08G1028600,100.0
Malus_domestica_MD15G1024100,100.0
Juglans_regia_JR_018965609.2,100.0
Carya_illinoinensis_XM_043133112.1,100.0
Corylus_avellana_XM_059604899.1,100.0
Alnus_glutinosa_AG_062307947.1,100.0
Carya_illinoinensis_XM_043133113.1,100.0
Corylus_avellana_XM_059605413.1,100.0
Alnus_glutinosa_AG_062309512.1,100.0
Quercus_robur_QR_050411541.1,100.0
Lithocarpus_litseifolius_Lli02G04208.1,100.0
Lithocarpus_litseifolius_Lli02G04207.1,100.0
Castanea_mollissima_Cm_g10343.t1,100.0
Quercus_rubra_Qurub.02G056200.1.v2.1,100.0
Quercus_robur_QR_050411544.1,100.0
Coriaria_nepalensis_Cnepa35553.1,85.71428571428571
Coriaria_nepalensis_Cnepa31790.1,92.85714285714286
Coriaria_nepalensis_Cnepa07981.1,92.85714285714286
Xerosicyos_pubescens1_Xpube05445.1,92.85714285714286
Gerrardanthus_grandiflorus_Ggran06484.3,96.42857142857143
Bayabusua_clarkei_Bclar09508.1,100.0
Alsomitra_macrocarpa_Amacr09511.3,100.0
Gynostemma_guangxiense_Gguan14930.1,96.42857142857143
Gynostemma_pentaphyllum3_GynPen25076.1,89.28571428571429
Gynostemma_pentaphyllum2_GP16318.1,89.28571428571429
Gynostemma_pentaphyllum3_GynPen25073.1,89.28571428571429
Gynostemma_pentaphyllum3_GynPen25074.1,89.28571428571429
Gynostemma_pentaphyllum3_GynPen25072.1,89.28571428571429
Datisca_glomerata_Dglom31504.1,100.0
Begonia_loranthoides_Blora29482.2,100.0
Begonia_fuchsioides_Bfuch12936.2,100.0
Begonia_peltatifolia_Bpelt09416.2,100.0
Begonia_fimbristipula_Bfimb28205.2,100.0
Begonia_darthvaderiana_Bdart22764.1,100.0
Begonia_darthvaderiana_Bdart22759.1,100.0
Begonia_loranthoides_Blora30833.1,100.0
Begonia_peltatifolia_Bpelt03624.1,100.0
Begonia_masoniana_Bmaso01053.1,100.0
Begonia_fimbristipula_Bfimb15215.1,100.0
Begonia_darthvaderiana_Bdart02809.2,100.0
Begonia_fuchsioides_Bfuch43994.1,96.42857142857143
Begonia_fuchsioides_Bfuch41398.2,100.0
NP_199094.1_DFR_Arabidopsis_thaliana,100
BAA85261.1_DFR_Arabidopsis_thaliana,100
AEI59122.1_DFR_Medicago_sativa,100
BAD67185.1_DFR_Spinacia_oleracea,100
BAB40789.1_DFR_Lilium_hybrid,100
CAA79154.1_DFR_Solanum_lycopersicum,100
NP_001268144.1_DFR_Vitis_vinifera,100
AHZ30596.1_DFR_Prunus_domestica,100
AAD26204.1_DFR_Malus_domestica,100
AAO39819.1_DFR_Pyrus_communis,100
AAD56578.1_DFR_Daucus_carota,100
AKN56970.1_DFR_Gerbera_hybrid_cultivar,100
AOF39984.11_DFR_Brassica_rapa,100
P51106.1_DFR_Hordeum_vulgare,100
BAE19953.1_DFR_Lotus_japonicus,100
AII26023.1_DFR_Pisum_sativum,100
NP_001274988.1_DFR_Solanum_tuberosum,100
NP_001152467.2_DFR_Zea_mays,100
AIZ74402.1_DFR_Anthurium_andraeanum,100
AAB62873.1_DFR_Bromheadia_finlaysoniana,100
CAA91922.1_DFR_Callistephus_chinensis,100
AIM58715.1_DFR_Cymbidium_hybrid_cultivar,100
ACZ48698.1_DFR_Fagopyrum_esculentum,100
ACZ48697.1_DFR_Fagopyrum_tataricum,100
BAO53730.1_DFR2_Glycine_max,100
AAP13055.1_DFR_Gypsophila_elegans,100
XP_013466134.1_DFR_Medicago_truncatula,100
BAF96936.1_DFR_Nicotiana_tabacum,100
BAA36183.1_DFR_Oryza_sativa_Japonica_Group,100
BAA12723.1_DFR_Rosa_hybrid_cultivar,100
AHL46438.1_DFR_Fragaria_vesca,100
AHL46443.1_DFR_Fragaria_x_ananassa,100
AHL46445.1_DFR_Fragaria_vesca,100
AHM27144.1_DFR_Angelonia_angustifolia,100
AAT84073.1_DFR_Camellia_sinensis,100
AAS00611.1_DFR_Citrus_sinensis,100
AAX16491.1_DFR_Crataegus_monogyna,100
BAF49325.1_DFR_Delphinium_belladonna,100
CAA78930.1_DFR_Gerbera_hybrid_cultivar,100
AAO39816.1_DFR_Malus_domestica,100
AAO39817.1_DFR_Malus_domestica,100
AAR27015.1_DFR2_Medicago_truncatula,100
AEF14420.1_DFR_Onobrychis_viciifolia,100
AAF60298.1_DFR_Petunia_x_hybrida,100
AAQ77347.1_DFR_Triticum_aestivum,100
AAL89715.1_DFR_Vaccinium_macrocarpon,100
AAX12420.1_DFR_Vaccinium_macrocarpon,100
CAA33543.1_DFR_Antirrhinum_majus,100
BAA84940.1_DFR_Camellia_sinensis,100
AAC17843.1_DFR_Cymbidium_hybrid_cultivar,100
CAA91924.1_DFR_Dianthus_caryophyllus,100
CAA70345.1_DFR_Forsythia_x_intermedia,100
AAC25960.1_DFR_Fragaria_x_ananassa,100
BAA12736.1_DFR_Gentiana_triflora,100
AAD54273.1_DFR_Glycine_max,100
BAA59332.1_DFR_Ipomoea_nil,100
BAA36405.1_DFR_Ipomoea_purpurea,100
AAD49343.1_DFR_Lilium_hybrid_division_VII,100
AAF23884.2_DFR_Lotus_corniculatus,100
BAE19948.1_DFR_Lotus_japonicus,100
BAE19949.1_DFR_Lotus_japonicus,100
BAE19950.1_DFR_Lotus_japonicus,100
BAE19951.1_DFR_Lotus_japonicus,100
BAA19658.1_DFR_Perilla_frutescens,100
BAB20075.1_DFR_Torenia_hybrid_cultivar,100
AAL35830.1_DFR_Triticum_monococcum,100
QFQ61498.1_DFR_Dryopteris_erythrosora,100
QFQ61499.1_DFR_Dryopteris_erythrosora,100
BAA74700.1_DFR_Ipomoea_purpurea,100
BAF93896.1_DFR_Iris_x_hollandica,100
XP_008797532.1_DFR_Phoenix_dactylifera,100
AEQ92209.1_DFR_Ipomoea_batatas,100
BAH98155.1_DFR_Tulipa_gesneriana,100
APG32494.1_DFR_Freesia_hybrid_cultivar,100
AAO63026.1_DFR_Allium_cepa,100
AFP58815.1_DFR_Hyacinthus_orientalis,100
